LF,The product{B-SSW}shall comply with City of Chicago{B-LOC} Application Development Guide Framework{B-SSW}.Application Development Framework will provide structured Graphical User Interface{B-GUI}.,,,,,,,
US,The product{B-SSW}shall provide Monitoring Services{B-SSW}.The product{B-SSW} shall be easy for System Administrators {B-ACTOR}and DBAs to use after two{B-TIM} weeks of usage.,,,,,,,
US,The product{B-SSW}shall provide Error Tracking Services{B-SSW}.The product{B-SSW}shall help the System Administrators{B-ACTOR}and DBAs to resolve transaction errors 99%} of the time.{B-TIM},,,,,,,
US,The product{B-SSW} shall provide Portals{B-GUI}.The product{B-SSW}shall help System Administrators {B-ACTOR}to analyze the transactions with ad-hoc reporting{B-VART} and KPIs (Key Performance Indicators),,,,,,,
PE,The product{B-SSW} shall provide Asynchronous Messaging{B-SSW}.The product{I-SSW} shall provide asynchronous{I-SSW} messaging to enable parallel processing{I-SSW} and reduce the overhead in communications{B-VART},,,,,,,
PE,The product{B-SSW} shall provide Multi-threading{B-SSW} and Load Balancing{I-SSW}.The product{I-SSW} shall provide multi-threading{I-SSW} technology as well as load balancing{I-SSW} to overcome data{B-VART} load spikes and traffic.,,,,,,,
PE,The product{B-SSW}shall process messages{B-VART} within 2} seconds{B-TIM}.The product{B-SSW} shall have a maximum message{I-VART} processing time of 2 seconds{I-TIM},,,,,,,
PE,The product{B-SSW} shall poll the system{B-SSW} for messages{B-VART} every second{B-TIM}.The product{I-SSW} shall poll the system{I-SSW} for new messages{I-VART} at a maximum of every 1} second{B-TIM}.,,,,,,,
PE,The product{B-SSW} shall provide Dynamic{B-VART} Change{I-VART} Support{I-VART} and Transparent{B-VART} resource{I-VART} addition{I-VART}.The product{I-SSW} shall support Transparent{I-VART} Resource{I-VART} addition{I-VART} and Dynamic{I-VART} Change{I-VART} support{I-VART} to provide scalability and avoid service interruptions of more than 1} day{B-TIM}.,,,,,,,
A,The product{B-SSW} shall be available 99%} of the time{B-TIM}. Rationale,To avoid service interruption during busiest customer service response periods. The product{B-SSW}shall be available 99.99% of the time for regular business days.,,,,,,
FT,The product{B-SSW} shall be robust.The product{B-SSW} shall have fault avoidance based on standards adoption.,,,,,,,
FT,The product{B-SSW} shall be robust with fault tolerance.The product{B-SSW}shall have fault tolerance by using recovery technique compensatory transaction{B-SSW} and routing{B-SSW} around failures.,,,,,,,
SC,The product{B-SSW} shall be able to process all transactions{B-SSW}.The product{I-SSW} shall process minimum of 1} million transactions{I-SSW} per year{B-TIM}.,,,,,,,
O,The product{B-SSW} shall be platform independent.The product{I-SSW} shall enable access to any type of development environment and platform{B-PLAT}.,,,,,,,
O,The product{B-SSW} shall interface{B-GUI} CSR{B-SSW} and Datastream{I-SSW}.The product{I-SSW} shall exchange messages{B-VART} between CSR{I-SSW} and EAM{I-SSW} on a real time{B-TIM} basis without any direct interfaces{B-GUI} between two systems{I-SSW}.,,,,,,,
MN,The product{B-SSW} shall continue to operate during upgrade  change or new resource addition.The product{I-SSW} shall be able to continue to operate with no interruption in service due to new resource additions.,,,,,,,
MN,The product{B-SSW} shall be updated on a regular basis.The product{I-SSW} will have a new major feature introduced every six} months{B-TIM} and quarterly maintenance releases every six months{I-TIM}.,,,,,,,
MN,The product{B-SSW} shall operate with every platform.The product{I-SSW} shall accommodate any new technology without any change in its architecture{B-VART}.,,,,,,,
SE,The product{B-SSW} shall have security.The product{I-SSW} shall provide authentication}  and authorization}.,,,,,,,
SE,The product{B-SSW} shall information{B-VART} Security. The product{I-SSW} shall enable privacy} by encryption} WS-Security} and Integrity} Checking}.,,,,,,,
SE,The product{B-SSW} shall have audit{B-VART} capabilities.The product{I-SSW} shall store messages{B-VART} for a minimum of one} year{B-TIM} for audit{I-VART} and transaction{B-SSW} tracking purposes.,,,,,,,
LF,The system{B-SSW} shall use IBM{I-SSW}  and CCR{I-SSW} branding{I-SSW} standards. The interface{B-GUI} must have one IBM{I-SSW}  logo{B-VART} and one CCR{I-SSW} logo{I-VART}.,,,,,,,
LF,The system{B-SSW}  shall be displayable on any work computer{B-HW} a CCR{B-SSW} user{B-ACTOR} may have. The system{I-SSW}  interface{B-GUI} shall be formatted to display at 800} by 600 pixel{I-VART} resolution.,,,,,,,
LF,The system{B-SSW}  interface{B-GUI} will use CCR{B-SSW} nomenclature. The system{I-SSW}  must use the same nomenclature used in the existing WCS{I-SSW} system{I-SSW} and reports{B-VART},,,,,,,
LF,The interface{B-VART} must summarize the data{B-VART} in a fashion thats appealing to CCR{B-SSW} management. Every report{I-VART} type must have at least one high level summary shown in the results dashboard/interface{B-GUI},,,,,,,
US,The system{B-SSW}  must use a point and click interface{B-GUI}. 100%} of all selection and navigation functionality must be able to be activated/selected by either a mouse{B-HW} or a keyboard{I-HW},,,,,,,
US,The interface{B-GUI} shall be easy to use. 90%} of users{B-ACTOR} should be able to successfully use the system{B-SSW} to generate a report{B-VART} on their first use. The interface{I-GUI} should adhere to IBM{I-SSW} usability standards.,,,,,,,
US,Reports{B-VART} must be easy to generate. eports{B-VART} must be generated within one button{B-VART} click and exported within one button {I-VART}click (after selecting the report),,,,,,,
US,A user{B-ACTOR} shall be able to use the system{B-SSW} without instruction{B-VART} after a short amount of time{B-TIM}. After one use a user{I-ACTOR} should understand and remember 90%} of the system{I-SSW} usage and navigation.,,,,,,,
US,All CCR{B-SSW} users{B-ACTOR} shall receive training before the WCS{I-SSW} system{I-SSW} is deployed. One training session will be held for 100% of CCR{I-SSW} users{I-ACTOR} before system{I-SSW} deployment (based on a CCR{I-SSW} user being available),,,,,,,
US,The WCS{B-SSW} system{I-SSW} shall use appropriate nomenclature and terminology as defined by the Corporate{B-ORG} Community{I-ORG} Grants{I-ORG} organization{I-ORG}. All interfaces{B-GUI} and reports{B-VART} will undergo usability tests by CCR{I-SSW} users{B-ACTOR}.,,,,,,,
A,The WCS{B-SSW} system{I-SSW} shall be available at all times{B-TIM} as long as IBM{I-SSW}s internal intranet W3{I-SSW} is accessible. The WCS{I-SSW} system{I-SSW} will be available 95%} of the time{I-TIM} IBM{I-SSW}s internal intranet W3{I-SSW} is available.,,,,,,,
SC,The WCS{B-SSW} system{I-SSW} shall have the ability to connect other designated WCS{I-SSW} databases{I-SSW} currently not included in the system{I-SSW}.,,,,,,,
SC,The WCS{B-SSW} system {I-SSW}shall have the ability to include data{B-VART} for regions{B-LOC} outside the United States{I-LOC} and be accessed by users{B-ACTOR} outside of the United States{I-VART} if approved by CCR{I-SSW} management.,,,,,,,
O,The WCS{B-SSW} system{I-SSW} shall be run in a Windows{B-OS} environment. The WCS{I-SSW} shall be accessed by users through the Internet{B-PLAT} on an IBM{I-SSW} computer{B-HW} running a Windows{I-GUI} 2000 or above operating system{I-GUI}.,,,,,,,
O,The Brio portion{B-VART} of the WCS{B-SSW} system{I-SSW} must be able to export files in spreadsheet{I-VART} form (Microsoft Excel{I-SSW} and Lotus 1-2-3} formats).  Brio{I-VART} will provide buttons{I-HW} in the user{B-ACTOR} interface{I-GUI} that produce/export reports{B-VART} in .xls{I-VART} or .123 file{I-VART} formats.,,,,,,,
MN,The WCS{B-SSW} system{I-SSW} must run queries to the WCS{I-SSW} databases{I-SSW} once again (on a specified day{B-TIM}) to update the available data{B-VART} available to CCR{I-SSW} users{B-ACTOR}. Queries must be made to external databases{I-SSW} for data{I-VART} refresh once a week{I-TIM}.,,,,,,,
MN,All changes  updates  and additions to the WCS{B-SSW} system{I-SSW} shall be updated in the WCS{I-SSW} Developer{I-SSW} and WCS{I-SSW} User{B-ACTOR} Guides{B-VART}. Every change must be reflected in WCS{I-SSW} system{I-SSW} documentation{B-VART},,,,,,,
SE,The system{B-SSW} shall only be accessed by authorized Corporate{B-ORG} Community Grants (CCR) employees{B-ACTOR}. Users{I-ACTOR} must be authenticated} using their IBM{I-SSW} intranet user{B-ACTOR} name and password}.,,,,,,,
SE,The WCS{B-SSW} system{I-SSW} shall not allow automatic logins{B-VART} by any user{B-ACTOR}. Cookies containing WCS{B-SSW} login} information{I-VART} about a user{I-ACTOR} will not be stored on a user{I-ACTOR}s computer{B-HW}.,,,,,,,
SE,Each team owner{B-ACTOR} will need to use a username and password} in order to be authenticated} to reach the team owner{I-ACTOR}s page,,,,,,,
SE,The Commissioner{B-ACTOR} will be the only authorized user{I-ACTOR} per league to adjust league settings{B-VART}.,,,,,,,
LF,Each page{B-HW} shall contain a navigation{B-VART} menu{I-VART} which shows the index{I-VART} into which the current page{I-HW} is contained.,,,,,,,
LF,Each page{B-HW} shall contain a similar format with action items{I-HW} in one location{B-LOC} and navigation{B-VART} buttons in a different location{I-LOC}.,,,,,,,
LF,The message{B-VART} board shall contain the 5} most recently posted messages{I-VART} on the league page{B-VART}. The messages{I-VART} will contain up to the first 150 characters of the message{I-VART}.,,,,,,,
US,A new user{B-ACTOR} shall be able to navigate{B-VART} through the league and team pages{I-VART} within 30} seconds{B-TIM} of reaching the start-up page{I-VART}.,,,,,,,
US,Users{B-ACTOR} shall be able to reach the add  drop  and trade player{B-ACTOR} pages{I-VART} with one click from the team{I-ACTOR} owners page{I-VART}.,,,,,,,
US,Users{B-ACTOR} shall be able to view at least 25} NFL {B-VART}player{I-ACTOR} statistics and points on each page{I-VART}.,,,,,,,
US,The application{B-PLAT} shall ask the user{B-ACTOR} to confirm dropping a player{I-ACTOR} or trading a player{I-ACTOR} before performing the action.,,,,,,,
PE,The application{B-PLAT}  shall be able to complete every user{B-ACTOR} transaction{B-VART} within one} fourth of a second{B-TIM} of receiving the request over the network.,,,,,,,
A,The application{B-PLAT}  shall have a downtime of at most 10} minutes{B-TIM} per year{I-TIM}.,,,,,,,
O,The application{B-PLAT}  shall run on a web{I-PLAT}  application{I-PLAT}  server{B-SSW} .,,,,,,,
PE,The maximum wait time{B-TIM} for a user{B-ACTOR} navigating{B-VART} from one screen{I-VART} to another within the Disputes{I-PLAT}  application{I-PLAT}  shall be no more than 5} seconds{B-TIM}.,,,,,,,
PE,The Disputes{B-PLAT}  application{I-PLAT}  shall support 350} concurrent users{B-ACTOR} without any degradation of performance in the application{I-PLAT} .,,,,,,,
O,The Disputes{B-PLAT}  application{I-PLAT}  shall be available 24}x 7x 365  with the exception of the following scheduled maintenance Windows{B-OS} .  Monday{B-TIM}  Saturday{I-TIM} 3,00am to 4,00am EST Sunday 1,00amd to 5,,,,
O,The Disputes{B-PLAT}  application{I-PLAT}  shall interface{I-GUI} with the Statement{B-VART} Database{B-SSW}. The Statement{I-VART} Database{B-SSW} provides the transaction{B-VART} details to the Disputes{B-PLAT} System{B-SSW}. All transaction{I-VART} details must be obtained from the Statement{I-VART} Database{I-SSW},,,,,,,
O,A primary database{B-SSW} will be used to store cached data for active users{B-ACTOR}.,,,,,,,
A,The system{B-SSW} shall achieve 95%} up time{B-TIM}.,,,,,,,
LF,The system{B-SSW} shall have a professional appearance{B-GUI},,,,,,,
LF,The product{B-SSW} shall have a consistent color scheme and fonts.,,,,,,,
US,The system{B-SSW} shall be used by realtors with no training{B-HW}.,,,,,,,
US,The system{B-SSW} shall be intuitive and self explanatory{B-VART}.,,,,,,,
US,The product{B-SSW}  shall be easy for a realtor to learn.,,,,,,,
US,The product{B-SSW}  shall use symbols and words that are naturally understandable by the realtor community.,,,,,,,
PE,The product{B-SSW}  shall produce search results in an acceptable time{B-TIM},,,,,,,
PE,The search results shall be returned no later 30}      seconds{B-TIM}  after the user has entered the search criteria,,,,,,,
PE,The product{B-SSW}  shall generate a CMA{B-SSW} report{B-VART} in an acceptable time{B-TIM}.,,,,,,,
PE,The CMA{B-SSW} report{B-VART} shall be returned no later 60} seconds{I-TIM} after the user{B-ACTOR} has entered the CMA{I-SSW} report{I-VART} criteria.,,,,,,,
PE,The product{B-SSW}  shall synchronize contacts and appointments in an acceptable time{B-TIM}.,,,,,,,
PE,The product{B-SSW}  shall synchronize with the office system{B-SSW} every hour{B-TIM}.,,,,,,,
A,The product{B-SSW}  shall be available for use 24} hours{B-TIM} per day{I-TIM}  365{I-TIM} days{I-TIM}  per year{I-TIM},,,,,,,
A,Out of 1000} accesses to the system{B-SSW}  the system {I-SSW}is available 999 times.,,,,,,,
FT,The product{B-SSW}  shall operate in offline mode whenever internet{B-PLAT} connection is unavailable.,,,,,,,
FT,The product{B-SSW}  shall allow the user{B-ACTOR} to view previously downloaded search results  CMA reports{B-VART}  and appointments.,,,,,,,
FT,The product{B-SSW}  shall retain user{B-ACTOR} preferences in the event of a failure.,,,,,,,
FT,100% }of saved user{B-ACTOR} preferences shall be restored when system{B-SSW} comes back online.,,,,,,,
SC,The product{B-SSW}  shall be able to support multiple remote users{B-ACTOR},,,,,,,
SC,The product{B-SSW}  shall be able support 1000} simultaneous users{B-ACTOR}.,,,,,,,
SC,The product{B-SSW}  shall be capable of handling the existing 1000} users{B-ACTOR}. This number} is expected to grow 5 times within the next year.,,,,,,,
US,The product{B-SSW}  shall be installed by an untrained realtor   without recourse to separately-printed instructions{B-VART}.,,,,,,,
US,90%} of untrained realtors{B-ACTOR} shall be able to install the product{B-SSW}on their device without printed instructions{B-VART},,,,,,,
PO,The product{B-SSW} is expected to run on Windows{B-OS}CE{B-PLAT} and Palm operating systems{B-GUI}.,,,,,,,
SE,Only registered realtors{B-ACTOR} shall be able to access the system{B-SSW}.,,,,,,,
SE,Every user{B-ACTOR} of the system{B-SSW} shall be authenticated and authorized.,,,,,,,
SE,The product{B-SSW} shall prevent its data{B-VART}from incorrect data being introduced.,,,,,,,
F,The system {B-SSW}shall allow a real estate agent{B-ACTOR} to query MLS information{B-VART},,,,,,,
F,The user{B-ACTOR} shall be able to get driving directions{B-VART} to a selected property,,,,,,,
F,The user {B-ACTOR}shall be able to download appointments {B-VART}and contact information for clients{I-ACTOR},,,,,,,
F,The system{B-SSW} shall display clear property images{B-VART} in the search results,,,,,,,
SC,system{B-SSW} shall be able to handle all of the user{B-ACTOR} requests/usage during business hours{B-TIM}.,,,,,,,
SC,The system{B-SSW} shall cater to 10} simultaneous users{B-ACTOR} from 9am{B-TIM} to 5pm{I-TIM},,,,,,,
SC,The system{B-SSW} shall be capable of processing 100%} of nursing students{I-ACTOR} and their classes for the next 10 years{B-TIM}.,,,,,,,
SC,The system{B-SSW} shall be expected to manage the nursing program{B-EVE} curriculum and class/clinical scheduling for a minimum {B-TIM}of 5 years.{I-TIM},,,,,,,
O,The system{B-SSW} shall able to operate{B-EVE} within a business office environment typical of the Nursing Department at DePaul University{B-ORG}.,,,,,,,
O,The system{B-SSW} shall be used within the specifications defined by the computers{B-HW} used by the Program Administrators/Nursing Staff Members.{B-ORG},,,,,,,
O,A secondary database{B-SSW} will be used to store historical statistics and data.{B-VART},,,,,,,
F,The system{B-SSW} shall be able to call the seller{B-ACTOR} or buyer to schedule{B-TIM} an appointment,,,,,,,
F,The realtor{B-PLAT} shall be notified of new client {B-ACTOR}appointments after automatic synchronization with office system{B-SSW},,,,,,,
F,The realtor{B-PLAT} shall be able to retrieve a map {B-LOC}showing property locations for a specified area{B-LOC},,,,,,,
F,The system {B-SSW}shall notify the realtor {B-PLAT}when a seller or buyer{B-ACTOR} responds to an appointment request{B-VART},,,,,,,
F,The product{B-SSW}shall allow the user{B-ACTOR} to save the property search results.,,,,,,,
US,The system{B-SSW} shall be easy to use by the Program Administrators/Nursing Staff Members{B-ORG}.,,,,,,,
US,All of the users{B-ACTOR} shall be able to use the system {B-SSW}after one day{B-TIM} of training.,,,,,,,
US,The system {B-SSW}shall help the user {B-ACTOR}avoid making mistakes while scheduling{B-TIM} classes and clinicals for the nursing students{B-ACTOR}.,,,,,,,
US,The number} of mistakes noted by the students{B-ACTOR} shall be decreased by 50%} in the first year.},,,,,,,
US,The system {B-SSW}shall be intuitive to the Program Administrators/Nursing Staff Members.{B-ORG},,,,,,,
US,2 }out of 3 Program Administrators/Nursing Staff {B-ORG}Members shall successfully be able to use the system {B-SSW}to manage the scheduling of classes{B-ORG} and clinicals.,,,,,,,
US,The system{B-SSW} shall use symbols and words{B-VART} that are naturally understandable by the user community.{B-ORG},,,,,,,
US,The verbiage {B-VART}used within the system {B-SSW}shall be consistent with Standard English{B-VART} and the terminology of the national Nursing Community.{B-ORG},,,,,,,
PE,Staff members{B-ORG} shall be able to complete a set of tasks in a timely{B-TIM} manner.,,,,,,,
PE,The response time{B-TIM} of general student{B-ACTOR} management tasks shall take no longer{B-TIM} than 5 {I-TIM}seconds and the response time{B-TIM} of schedule generation shall take no longer{B-TIM} than 30 v{I-TIM}seconds.,,,,,,,
A,The system {B-SSW}shall be available for use between the hours of 8am {B-TIM}and 6pm.{I-TIM},,,,,,,
O,The system{B-SSW} shall operate within the Windows{B-OS}XP{B-PLAT} Professional operating system.{B-GUI},,,,,,,
O,The system {B-SSW}shall interface{B-GUI} with CampusConnects central server{B-SSW},,,,,,,
O,The system {B-SSW}shall interface{B-GUI} with the faculty central server.{B-SSW},,,,,,,
O,The system {B-SSW}shall interface with the student master server.{B-SSW},,,,,,,
O,We must be able to interface with any HTML browser.{B-PLAT},,,,,,,
SE,Only authorized users{B-ACTOR} shall have access to clinical site information.{B-VART},,,,,,,
SE,Program Administrators/Nursing Staff Members{B-ORG} are the only people who shall have access to clinical site details.{B-VART},,,,,,,
SE,Only authorized users{B-ACTOR} shall have access to students {B-ACTOR}personal information.{B-VART},,,,,,,
SE,Dr Susan Poslusny{B-ACTOR} and Dr Julie Donalek are the only people who shall have access to students personal information.{B-VART},,,,,,,
SE,Only authorized users{B-ACTOR} shall have access to the portion of the system{B-SSW} that interfaces with CampusConnect.{B-ORG},,,,,,,
SE,The system{B-SSW} shall have basic data integrity checking to reduce the possibility of incorrect or invalid data {B-VART}being introduced.,,,,,,,
SE,The system{B-SSW} shall protect private information{B-VART} in accordance with the organizations{B-ORG} information policy.,,,,,,,
SE,The system {B-SSW}shall be built such that it is as secure as possible from malicious interference.{B-SSW},,,,,,,
SE,The system {B-SSW}shall use the organizations standard virus protection software {B-SSW}to help monitor{B-EVE} threats to itself.,,,,,,,
F,A cohort {B-SSW}shall be associated to one Program of Study offered by the department.{B-ORG},,,,,,,
F,Program Administrators {B-ACTOR}and Nursing Staff Members{B-ACTOR} shall be able to add a listing of students{B-ACTOR} to a cohort.{B-SSW},,,,,,,
F,Program Administrators{B-ACTOR}and Nursing Staff Members{B-ORG} shall be able to add a single student{B-ACTOR} to a cohort{B-SSW},,,,,,,
F,Students{B-ACTOR} added to a cohort {B-SSW}shall be eligible for the cohorts Program of Study{B-HW}.,,,,,,,
F,Program Administrators{B-ACTOR} and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.{B-SSW},,,,,,,
F,For each class {B-ORG}within a sequence for a cohort{B-SSW}  Program Administrators{B-ACTOR} and Nursing Staff Members shall be able to specify which quarter that class will be offered.{B-VART},,,,,,,
F,For each class{B-ORG} within a sequence for a cohort  Program Administrators {B-ACTOR}and Nursing Staff Members{B-ORG} shall be able to specify which quarter that class will be offered.{B-VART},,,,,,,
F,Program Administrators{B-ACTOR} and Nursing Staff Members{B-ACTOR} shall be able to add new classes{B-ORG} to a sequence of classes{I-ORG},,,,,,,
MN,Application{B-SSW} updates shall occur between 3AM{B-TIM} and 6 AM {I-TIM}CST on Wednesday morning{I-TIM} during the middle of the NFL season.{B-VART},,,,,,,
MN,New System {B-SSW}version releases shall be released at the beginning of each NFL season.{B-VART},,,,,,,
F,The system{B-SSW} shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications{B-SSW},,,,,,,
F,The system{B-SSW} shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications{B-SSW} for modifications{B-HW}.,,,,,,,
F,The system{B-SSW} shall allow modification of the display.{B-HW},,,,,,,
F,The system{B-SSW} shall offer a display of all the Events in the exercise.{B-HW},,,,,,,
F,The system {B-SSW}shall filter data.{B-VART},Venues and Key Events.,,,,,,
F,The system{B-SSW} shall allow a user {B-ACTOR}to define the time segments{B-TIM},,,,,,,
F,The system{B-SSW} shall display the local and exercise time {B-TIM}in separate clocks{B-HW},,,,,,,
F,The system {B-SSW}shall offer the ability to pause and resume{B-HW} the refresh of data.{B-VART},,,,,,,
F,The system {B-SSW}shall provide charts{B-VART} for the Activity or Event actual versus assumed time.{B-TIM},,,,,,,
A,The RFS system{B-SSW} should be available 24/7 {B-TIM} especially during the budgeting period. The RFS system{B-SSW} shall be available 90% of the time {B-TIM}all year  and 98% during the budgeting period. 2% }of the time  the system will become available within 1 hour {I-TIM}of the time that the situation is reported.,,,,,,,
O,98%} of the user{B-ACTOR} workstations shall meet the minimum hardware{B-HW} requirements prior to implementation. ,400MB.,,,,,,
O,98% }of the user{B-ACTOR} workstations shall meet the minimum software{B-SSW} requirements prior to implementation{B-HW},Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls,,,,,,
O,The RFS system {B-SSW}should be able to easily interface{B-GUI} with the BDW environment  in order to load the data.{B-VART}         7 data files shall be received from the BDW and loaded into the RFS system{B-SSW} within 3 hours{B-TIM} one day prior to the start of budgeting process  every year{I-TIM}. The data will be as of October month-end{B-TIM}.         Test files (7) shall be loaded up to 5 times} throughout the year  from the BDW{B-SSW}.,,,,,,,
MN,Changes to revenue and expense formulae{B-VART} must be applied to the RFS system {B-SSW} every year  prior to the budgeting process start.{B-TIM} Revenue and expense formulae{B-VART} will be updated within one week{I-TIM} of their receipt  after which 2 weeks{I-TIM} will be allotted to testing of the budget {B-VART}calculations  to be conducted jointly by the project development team and PCG Finance.{B-ORG},,,,,,,
MN,New branches/complexes/districts/regions{B-ORG} and revenue/expense accounts added to the BDW  must be reflected in the RFS system {B-SSW}. 100% of the entities (mentioned above) available as of October month-end {B-TIM} will be loaded into the RFS system  {B-SSW} prior to the budget start process.,,,,,,,
SE,Only authorized user {B-ACTOR}shall access the RFS system{B-SSW}. ONLY users {B-ACTOR}that exist in the UAS system {B-SSW}  with the RFS system  {B-SSW}assigned to their role(s)  shall access the RFS system {B-SSW} and use it.,,,,,,,
SE,User{B-ACTOR} access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users{B-ACTOR} will be assigned to these roles. Access to functionality within RFS system {B-SSW} is dependent on the privileges/permission assigned to the role..,,,,,,,
LF,The product{B-SSW}must comply with the intranet page{B-PLAT} standards and requirements of ENET Securities. 95% of the product{B-SSW}look & feel will be approved by the Architecture group{B-ORG}  prior to implementation. The remaining 5%} will be corrected and approved within one month{B-TIM} of product{B-SSW} release.,,,,,,,
LF,The intranet{B-PLAT} pages should display appropriately in all resolutions  from 800x600} and higher. The display of all the pages{B-HW} will be correct in 95% of the resolutions  prior to implementation. The remaining 5%} will be corrected within a week{I-TIM} of notification of the incorrect display.{B-HW},,,,,,,
US,The users{B-ACTOR} should be able to easily use the system {B-SSW} to successfully complete their budgets {B-VART} within the stipulated time{B-TIM} for completion. With a week{B-TIM} of training prior to product{B-SSW}implementation  98% of the users {B-ACTOR}shall complete their budgets within the stipulated time{B-TIM}.,,,,,,,
PE,The product{B-SSW}interface should be fast{B-TIM}. The response time{B-TIM} of the product{B-SSW} interface should not exceed 2 }seconds 90% of the time{B-TIM}. For 10% of the time  the response time {B-TIM}should not be more than 10 seconds{I-TIM}.not be more than 10{I-TIM} seconds.,,,,,,,
F,The system {B-SSW} will use the stored e-mail{B-SSW} addresses as a primary means of communicating information {B-VART}to affected parties.{B-ORG},,,,,,,
F,The system {B-SSW} will notify affected parties{B-ORG} for routine communication purposes  including but not limited to informing students{B-ACTOR} of upcoming offered classes (timeline) and what their schedule{B-TIM} will be/shall be.,,,,,,,
F,The system{B-SSW} will notify affected parties{B-ORG} when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.{B-HW},,,,,,,
F,The system {B-SSW} will notify affected parties{B-ORG} when changes occur affecting classes  including but not limited to class{B-ORG} cancellations  class section detail changes  and changes to class offerings for a given quarter.},,,,,,,
F,The Disputes System{B-SSW} will facilitate direct data{B-VART} entry of a dispute{I-EVE} case{I-EVE} via a user interface that supports real time responses to the users{B-ACTOR}.,,,,,,,
F,The Disputes System{B-SSW} must provide different levels of access with regard to disputes{B-EVE} case initiation and follow-up actions.,,,,,,,
F,The Disputes System{B-SSW} shall provide view access capability for authorized users{B-ACTOR} of the application.,,,,,,,
F,The Disputes System{B-SSW} shall provide update access capability for authorized users{B-ACTOR} of the application.,,,,,,,
F,The Disputes System{B-SSW} must allow the users{B-ACTOR} to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,,,,,,,
F,The Disputes System{B-SSW} must provide the user the ability to initiate a single dispute case on multiple transactions{B-SSW} that belong to a single merchant{B-EVE}.,,,,,,,
F,The Disputes System{B-SSW} will provide the user the ability to create or initiate a ticket{B-HW} retrieval request.   As part of ticket{I-HW} retrieval creation process the system must prompt the user{B-ACTOR} to enter all the required information to create the ticket{I-HW} retrieval request.  The ticket{I-HW} retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,,,,,,,
F,The Disputes System{B-SSW} must allow the user{B-ACTOR} to create three unique types of ticket{I-HW} retrieval requests.  The three types of ticket{I-HW} retrieval requests are (1) Request for original receipt{I-HW} (2) Request for a copy of the receipt{I-HW} or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car{I-HW} rental agency{B-ORG} that is more than a sales receipt{I-HW}.,,,,,"retrieval request, receipt",,
F,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,,,,,,,
F,The Disputes System{B-SSW} must provide a confirmation to the user{B-ACTOR} upon the creation of ticket{I-HW} retrieval request that contains the following information; the dispute{B-EVE} case number  the type of retrieval requested (copy  original or portfolio)  and the date{B-TIM} that the merchant response is due.,,,,,,,
F,The Disputes System{B-SSW} shall allow the user{B-ACTOR} to create or initiate a chargeback request.  The system must prompt the user{B-ACTOR} to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant{B-EVE} indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,,,,,,,
F,The Disputes System{B-SSW} must provide a confirmation to the user{B-ACTOR} upon the creation of a chargeback request. The confirmation must contain the following information; the dispute{I-EVE} case{I-EVE} number}  the type of chargeback requested (pending or immediate)  and the date{B-TIM} that the merchant{I-EVE} response is due.,,,,,,,
F,The Disputes System{B-SSW} shall prevent the creation of duplicate dispute{I-EVE} requests 100% of the time{B-TIM}.,,,,,,,
F,The Disputes System{B-SSW} shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry{B-ORG} that the merchant{B-EVE} belongs to  according to the business{I-ORG} rules defined for the Disputes{I-EVE} System.,,,,,,,
F,The Disputes System{B-SSW} must provide the ability to view existing dispute{B-EVE} cases{B-EVE}.,,,,,,,
F,The Disputes System{B-SSW} must provide Search functionality.  The search method must include the ability to search by (1) the dispute{B-EVE} case{B-EVE} number}  (2) the merchant{B-EVE} account number{I-EVE}  (3) the cardmember{I-EVE} account number and (4) the issuer{I-EVE} number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date{B-TIM} range}  the type of dispute{I-EVE} (ticket{B-HW} retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute{I-EVE} reason code.,,,,,,,
F,A list of all disputes cases{B-SSW} that meet the entered search criteria must be provided to the user{B-ACTOR}.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,,,,,,,
F,The Disputes System{B-SSW} shall provide the users the ability to view the history{B-TIM} of all activities that have occurred on the dispute{I-EVE} case{I-EVE}.,,,,,,,
